530,923,1111,Requested,Created,Diff,Diff%
0,0,0,1010,1053,-43,-3
1,0,0,766,752,14,2
2,0,0,145,152,-7,-4
0,1,0,288,294,-6,-1
1,1,0,219,225,-6,-2
2,1,0,41,48,-7,-16
0,2,0,21,33,-12,-56
1,2,0,16,18,-2,-12
2,2,0,3,5,-2,-66
0,0,1,831,795,36,4
1,0,1,631,588,43,7
2,0,1,120,132,-12,-9
0,1,1,238,255,-17,-6
1,1,1,180,176,4,2
2,1,1,34,41,-7,-20
0,2,1,17,15,2,12
1,2,1,13,10,3,23
2,2,1,2,2,0,0
0,0,2,171,164,7,4
1,0,2,130,125,5,4
2,0,2,25,19,6,24
0,1,2,49,46,3,6
1,1,2,37,41,-4,-10
2,1,2,7,6,1,14
0,2,2,3,3,0,0
1,2,2,3,1,2,67
2,2,2,0,1,-1,-2147483648

NUM,SUM,MAX,MIN
25,0,43,-43
25,0,67,-2147483648
