85,1362,3596,5645,6814,Requested,Created,Diff,Diff%
0,0,0,0,0,6871,6853,18,0
1,0,0,0,0,2114,2107,7,0
2,0,0,0,0,163,163,0,0
0,1,0,0,0,1114,1191,-77,-6
1,1,0,0,0,343,349,-6,-1
2,1,0,0,0,26,25,1,4
0,2,0,0,0,45,34,11,24
1,2,0,0,0,14,9,5,36
2,2,0,0,0,1,2,-1,-99
0,0,1,0,0,8847,8747,100,1
1,0,1,0,0,2722,2709,13,0
2,0,1,0,0,209,200,9,4
0,1,1,0,0,1435,1404,31,2
1,1,1,0,0,441,435,6,1
2,1,1,0,0,34,27,7,21
0,2,1,0,0,58,57,1,2
1,2,1,0,0,18,19,-1,-5
2,2,1,0,0,1,8,-7,-699
0,0,2,0,0,2848,2847,1,0
1,0,2,0,0,876,871,5,1
2,0,2,0,0,67,61,6,9
0,1,2,0,0,462,468,-6,0
1,1,2,0,0,142,155,-13,-8
2,1,2,0,0,11,14,-3,-26
0,2,2,0,0,19,11,8,42
1,2,2,0,0,6,7,-1,-16
2,2,2,0,0,0,0,0,-2147483648
0,0,0,1,0,4582,4605,-23,0
1,0,0,1,0,1410,1419,-9,0
2,0,0,1,0,108,112,-4,-3
0,1,0,1,0,743,760,-17,-1
1,1,0,1,0,229,248,-19,-7
2,1,0,1,0,18,16,2,11
0,2,0,1,0,30,39,-9,-29
1,2,0,1,0,9,12,-3,-32
2,2,0,1,0,1,0,1,100
0,0,1,1,0,5900,5883,17,0
1,0,1,1,0,1815,1824,-9,0
2,0,1,1,0,140,142,-2,0
0,1,1,1,0,957,952,5,1
1,1,1,1,0,294,261,33,11
2,1,1,1,0,23,22,1,4
0,2,1,1,0,39,35,4,10
1,2,1,1,0,12,14,-2,-16
2,2,1,1,0,1,0,1,100
0,0,2,1,0,1899,1921,-22,0
1,0,2,1,0,584,625,-41,-6
2,0,2,1,0,45,51,-6,-12
0,1,2,1,0,308,283,25,8
1,1,2,1,0,95,101,-6,-5
2,1,2,1,0,7,8,-1,-13
0,2,2,1,0,12,9,3,25
1,2,2,1,0,4,2,2,50
2,2,2,1,0,0,0,0,-2147483648
0,0,0,2,0,764,730,34,4
1,0,0,2,0,235,237,-2,0
2,0,0,2,0,18,21,-3,-16
0,1,0,2,0,124,133,-9,-6
1,1,0,2,0,38,41,-3,-7
2,1,0,2,0,3,2,1,33
0,2,0,2,0,5,2,3,60
1,2,0,2,0,2,0,2,100
2,2,0,2,0,0,0,0,-2147483648
0,0,1,2,0,983,973,10,1
1,0,1,2,0,303,320,-17,-5
2,0,1,2,0,23,23,0,0
0,1,1,2,0,159,189,-30,-18
1,1,1,2,0,49,40,9,18
2,1,1,2,0,4,2,2,50
0,2,1,2,0,6,8,-2,-32
1,2,1,2,0,2,1,1,50
2,2,1,2,0,0,0,0,-2147483648
0,0,2,2,0,316,320,-4,0
1,0,2,2,0,97,90,7,7
2,0,2,2,0,7,13,-6,-85
0,1,2,2,0,51,63,-12,-23
1,1,2,2,0,16,13,3,19
2,1,2,2,0,1,0,1,100
0,2,2,2,0,2,4,-2,-99
1,2,2,2,0,1,0,1,100
2,2,2,2,0,0,0,0,-2147483648
0,0,0,0,1,5433,5432,1,0
1,0,0,0,1,1672,1675,-3,0
2,0,0,0,1,129,137,-8,-5
0,1,0,0,1,881,920,-39,-3
1,1,0,0,1,271,290,-19,-6
2,1,0,0,1,21,20,1,5
0,2,0,0,1,36,23,13,36
1,2,0,0,1,11,13,-2,-17
2,2,0,0,1,1,0,1,100
0,0,1,0,1,6996,6978,18,0
1,0,1,0,1,2152,2125,27,1
2,0,1,0,1,166,187,-21,-12
0,1,1,0,1,1135,1152,-17,0
1,1,1,0,1,349,318,31,9
2,1,1,0,1,27,26,1,4
0,2,1,0,1,46,43,3,7
1,2,1,0,1,14,19,-5,-35
2,2,1,0,1,1,0,1,100
0,0,2,0,1,2252,2210,42,2
1,0,2,0,1,693,674,19,3
2,0,2,0,1,53,40,13,25
0,1,2,0,1,365,336,29,8
1,1,2,0,1,112,124,-12,-10
2,1,2,0,1,9,5,4,44
0,2,2,0,1,15,14,1,7
1,2,2,0,1,5,5,0,0
2,2,2,0,1,0,0,0,-2147483648
0,0,0,1,1,3623,3601,22,1
1,0,0,1,1,1115,1107,8,1
2,0,0,1,1,86,81,5,6
0,1,0,1,1,587,591,-4,0
1,1,0,1,1,181,196,-15,-7
2,1,0,1,1,14,17,-3,-20
0,2,0,1,1,24,25,-1,-3
1,2,0,1,1,7,8,-1,-13
2,2,0,1,1,1,0,1,100
0,0,1,1,1,4665,4725,-60,0
1,0,1,1,1,1435,1396,39,3
2,0,1,1,1,110,91,19,17
0,1,1,1,1,757,776,-19,-2
1,1,1,1,1,233,215,18,8
2,1,1,1,1,18,18,0,0
0,2,1,1,1,31,30,1,3
1,2,1,1,1,9,10,-1,-10
2,2,1,1,1,1,2,-1,-99
0,0,2,1,1,1502,1509,-7,0
1,0,2,1,1,462,473,-11,-1
2,0,2,1,1,36,36,0,0
0,1,2,1,1,244,251,-7,-2
1,1,2,1,1,75,86,-11,-14
2,1,2,1,1,6,6,0,0
0,2,2,1,1,10,13,-3,-29
1,2,2,1,1,3,5,-2,-66
2,2,2,1,1,0,0,0,-2147483648
0,0,0,2,1,604,635,-31,-4
1,0,0,2,1,186,196,-10,-4
2,0,0,2,1,14,21,-7,-49
0,1,0,2,1,98,110,-12,-11
1,1,0,2,1,30,37,-7,-22
2,1,0,2,1,2,0,2,100
0,2,0,2,1,4,10,-6,-149
1,2,0,2,1,1,0,1,100
2,2,0,2,1,0,0,0,-2147483648
0,0,1,2,1,778,796,-18,-1
1,0,1,2,1,239,235,4,2
2,0,1,2,1,18,19,-1,-5
0,1,1,2,1,126,129,-3,-1
1,1,1,2,1,39,31,8,21
2,1,1,2,1,3,2,1,33
0,2,1,2,1,5,2,3,60
1,2,1,2,1,2,0,2,100
2,2,1,2,1,0,0,0,-2147483648
0,0,2,2,1,250,230,20,8
1,0,2,2,1,77,91,-14,-17
2,0,2,2,1,6,5,1,17
0,1,2,2,1,41,34,7,17
1,1,2,2,1,12,13,-1,-7
2,1,2,2,1,1,0,1,100
0,2,2,2,1,2,3,-1,-49
1,2,2,2,1,0,0,0,-2147483648
2,2,2,2,1,0,0,0,-2147483648
0,0,0,0,2,1074,1082,-8,0
1,0,0,0,2,330,316,14,4
2,0,0,0,2,25,23,2,8
0,1,0,0,2,174,164,10,6
1,1,0,0,2,54,64,-10,-18
2,1,0,0,2,4,0,4,100
0,2,0,0,2,7,10,-3,-42
1,2,0,0,2,2,0,2,100
2,2,0,0,2,0,0,0,-2147483648
0,0,1,0,2,1383,1362,21,2
1,0,1,0,2,425,394,31,7
2,0,1,0,2,33,34,-1,-2
0,1,1,0,2,224,224,0,0
1,1,1,0,2,69,82,-13,-18
2,1,1,0,2,5,4,1,20
0,2,1,0,2,9,5,4,44
1,2,1,0,2,3,1,2,67
2,2,1,0,2,0,0,0,-2147483648
0,0,2,0,2,445,427,18,4
1,0,2,0,2,137,125,12,9
2,0,2,0,2,11,4,7,64
0,1,2,0,2,72,80,-8,-10
1,1,2,0,2,22,25,-3,-13
2,1,2,0,2,2,4,-2,-99
0,2,2,0,2,3,2,1,33
1,2,2,0,2,1,0,1,100
2,2,2,0,2,0,0,0,-2147483648
0,0,0,1,2,716,713,3,0
1,0,0,1,2,220,233,-13,-5
2,0,0,1,2,17,12,5,29
0,1,0,1,2,116,97,19,16
1,1,0,1,2,36,38,-2,-5
2,1,0,1,2,3,3,0,0
0,2,0,1,2,5,4,1,20
1,2,0,1,2,1,0,1,100
2,2,0,1,2,0,0,0,-2147483648
0,0,1,1,2,922,919,3,0
1,0,1,1,2,284,317,-33,-11
2,0,1,1,2,22,20,2,9
0,1,1,1,2,150,154,-4,-2
1,1,1,1,2,46,43,3,7
2,1,1,1,2,4,9,-5,-124
0,2,1,1,2,6,5,1,17
1,2,1,1,2,2,0,2,100
2,2,1,1,2,0,0,0,-2147483648
0,0,2,1,2,296,333,-37,-12
1,0,2,1,2,91,94,-3,-2
2,0,2,1,2,7,8,-1,-13
0,1,2,1,2,48,50,-2,-3
1,1,2,1,2,15,18,-3,-19
2,1,2,1,2,1,3,-2,-199
0,2,2,1,2,2,0,2,100
1,2,2,1,2,1,0,1,100
2,2,2,1,2,0,0,0,-2147483648
0,0,0,2,2,119,133,-14,-11
1,0,0,2,2,37,37,0,0
2,0,0,2,2,3,1,2,67
0,1,0,2,2,19,23,-4,-20
1,1,0,2,2,6,8,-2,-32
2,1,0,2,2,0,0,0,-2147483648
0,2,0,2,2,1,0,1,100
1,2,0,2,2,0,0,0,-2147483648
2,2,0,2,2,0,0,0,-2147483648
0,0,1,2,2,154,160,-6,-3
1,0,1,2,2,47,47,0,0
2,0,1,2,2,4,5,-1,-24
0,1,1,2,2,25,28,-3,-11
1,1,1,2,2,8,9,-1,-12
2,1,1,2,2,1,0,1,100
0,2,1,2,2,1,0,1,100
1,2,1,2,2,0,0,0,-2147483648
2,2,1,2,2,0,0,0,-2147483648
0,0,2,2,2,49,38,11,22
1,0,2,2,2,15,16,-1,-6
2,0,2,2,2,1,0,1,100
0,1,2,2,2,8,16,-8,-99
1,1,2,2,2,2,0,2,100
2,1,2,2,2,0,0,0,-2147483648
0,2,2,2,2,0,0,0,-2147483648
1,2,2,2,2,0,0,0,-2147483648
2,2,2,2,2,0,0,0,-2147483648

NUM,SUM,MAX,MIN
207,3,100,-77
210,3,100,-2147483648
